Source,Target
Cynthia Calvillo,Carla Esparza
Myles Jury,Rick Glenn
Khalil Rountree Jr.,Michal Oleksiejczuk
Carlos Condit,Neil Magny
Louis Smolka,Matheus Nicolau
Tim Elliott,Mark De La Rosa
Julian Marquez,Darren Stewart
Ricardo Lamas,Josh Emmett
Glover Teixeira,Misha Cirkunov
Chad Laprise,Galore Bofando
Robbie Lawler,Rafael Dos Anjos
Nordine Taleb,Danny Roberts
Jared Cannonier,Jan Blachowicz
Santiago Ponzinibbio,Mike Perry
Alessio Di Chirico,Oluwale Bamgbose
John Makdessi,Abel Trujillo
Jordan Mein,Erick Silva
Luke Sanders,Andre Soukhamthath
Eryk Anders,Markus Perez
Jason Knight,Gabriel Benitez
Albert Morales,Benito Lopez
Scott Holtzman,Darrell Horcher
Marlon Moraes,Aljamain Sterling
Cub Swanson,Brian Ortega
Alexis Davis,Liz Carmouche
Frankie Saenz,Merab Dvalishvili
Chris Gruetzemacher,Davi Ramos
Alejandro Perez,Iuri Alcantara
Carls John De Tomas,Alex Perez
Antonio Braga Neto,Trevin Giles
Henry Cejudo,Sergio Pettis
David Teymur,Drakkar Klose
Alistair Overeem,Francis Ngannou
Tecia Torres,Michelle Waterson
Max Holloway,Jose Aldo
Charles Oliveira,Paul Felder
Alex Oliveira,Yancy Medeiros
Eddie Alvarez,Justin Gaethje
Sabah Homasi,Abdul Razak Alhassan
Jeremy Kimball,Dominick Reyes
Justin Willis,Allen Crowder
Amanda Cooper,Angela Magana
Felice Herrig,Cortney Casey
Eric Spicely,Gerald Meerschaert
Barb Honchak,Lauren Murphy
Christina Marks,Montana De La Rosa
Andrew Sanchez,Ryan Janes
DeAnna Bennett,Melinda Fabian
Nicco Montano,Roxanne Modafferi
Sean O'Malley,Terrion Ware
Joe Soto,Brett Johns
Ariel Beck,Shana Dobson
Karine Gevorgyan,Rachael Ostovich
Gillian Robertson,Emily Whitmire
Muslim Salikhov,Alex Garcia
Michael Bisping,Kelvin Gastelum
Song Yadong,Bharat Kandare
Zabit Magomedsharipov,Sheymon Moraes
Kailin Curran,Yan Xiaonan
Song Kenan,Bobby Nash
Li Jingliang,Zak Ottow
Wang Guan,Alex Caceres
Wu Yanan,Gina Mazany
Cyril Asker,Hu Yaozong
Chase Sherman,Shamil Abdurakhimov
Wuliji Buren,Rolando Dy
Elias Theodorou,Daniel Kelly
Bec Rawlings,Jessica-Rose Clark
Jake Matthews,Bojan Velickovic
Tim Means,Belal Muhammad
Alexander Volkanovski,Shane Young
Ryan Benoit,Ashkan Mokhtarian
Fabricio Werdum,Marcin Tybura
Nik Lentz,Will Brooks
Rashad Coulter,Tai Tuivasa
Damien Brown,Frank Camacho
Jenel Lausa,Eric Shelton
Anthony Hamilton,Adam Wieczorek
Alex Chambers,Nadia Kassem
John Dodson,Marlon Moraes
Raphael Assuncao,Matthew Lopez
Nate Marquardt,Cezar Ferreira
Matt Brown,Diego Sanchez
Tatiana Suarez,Viviane Pereira
Dustin Poirier,Anthony Pettis
Joe Lauzon,Clay Guida
Junior Albini,Andrei Arlovski
Darren Stewart,Karl Roberson
Angela Hill,Nina Ansaroff
Sage Northcutt,Michel Quinones
Court McGee,Sean Strickland
Jake Collier,Marcel Fortuna
Joanna Jedrzejczyk,Rose Namajunas
Ovince Saint Preux,Corey Anderson
Walt Harris,Mark Godbeer
Johny Hendricks,Paulo Costa
Cody Garbrandt,TJ Dillashaw
James Vick,Joe Duffy
Stephen Thompson,Jorge Masvidal
Michael Bisping,Georges St-Pierre
Aleksei Oleinik,Curtis Blaydes
Randy Brown,Mickey Gall
Aiemann Zahabi,Ricardo Ramos
Thiago Santos,Jack Hermansson
Francisco Trinaldo,Jim Miller
Antonio Carlos Junior,Jack Marshman
Vicente Luque,Niko Price
Derek Brunson,Lyoto Machida
Pedro Munhoz,Rob Font
Demian Maia,Colby Covington
John Lineker,Marlon Vera
Hacran Dias,Jared Gordon
Deiveson Figueiredo,Jarred Brooks
Elizeu Zaleski dos Santos,Max Griffin
Marcelo Golm,Christian Colombo
Jan Blachowicz,Devin Clark
Artem Lobov,Andre Fili
Karolina Kowalkiewicz,Jodie Esquibel
Donald Cerrone,Darren Till
Sam Alvey,Ramazan Emeev
Oskar Piechota,Jonathan Wilson
Damian Stasiak,Brian Kelleher
Marcin Held,Nasrat Haqparast
Salim Touahri,Warlley Alves
Felipe Arantes,Josh Emmett
Lina Lansberg,Aspen Ladd
Mara Romero Borella,Kalindra Faria
Tom Duquesnoy,Cody Stamann
Fabricio Werdum,Walt Harris
Lando Vannata,Bobby Green
Beneil Dariush,Evan Dunham
Demetrious Johnson,Ray Borg
Pearl Gonzalez,Poliana Botelho
Tony Ferguson,Kevin Lee
John Moraga,Bibulatov Magomed
Matt Schnell,Marco Beltran
Thales Leites,Brad Tavares
Takanori Gomi,Dong Hyun Ma
Teruto Ishihara,Rolando Dy
Jussier Formiga,Yuta Sasaki
Syuri Kondo,Chan-Mi Jeon
Claudia Gadelha,Jessica Andrade
Keita Nakamura,Alex Morono
Gokhan Saki,Henrique da Silva
Ovince Saint Preux,Yushin Okami
Shinsho Anzai,Luke Jumeau
Daichi Abe,Hyun Gyu Lim
Hector Lombard,Anthony Smith
Mike Perry,Alex Reyes
Kamaru Usman,Sergio Moraes
Gregor Gillespie,Jason Gonzalez
Anthony Hamilton,Daniel Spitz
Anthony Rocco Martin,Olivier Aubin-Mercier
Luke Rockhold,David Branch
Justin Ledet,Azunna Anyanwu
Krzysztof Jotko,Uriah Hall
Jason Saggo,Gilbert Burns
Neil Magny,Rafael Dos Anjos
Sara McMann,Ketlen Vieira
Ilir Latifi,Tyson Pedro
Gavin Tucker,Rick Glenn
Henry Cejudo,Wilson Reis
Amanda Nunes,Valentina Shevchenko
Sarah Moras,Ashlee Evans-Smith
Jeremy Stephens,Gilbert Melendez
Mitch Clarke,Alex White
Kajan Johnson,Adriano Martins
Luis Henrique,Arjan Bhullar
Marion Reneau,Talita Bernardo
Darren Till,Bojan Velickovic
Siyar Bahadurzada,Rob Wilkinson
Michel Prazeres,Mads Burnell
Rustam Khabilov,Desmond Green
Alexander Volkov,Stefan Struve
Leon Edwards,Bryan Barberena
Mairbek Taisumov,Felipe Silva
Francimar Barroso,Aleksandar Rakic
Mike Santiago,Zabit Magomedsharipov
Thibault Gouti,Andrew Holbrook
Bojan Mihajlovic,Abdul-Kerim Edilov
Dustin Ortiz,Hector Sandoval
Alejandro Perez,Andre Soukhamthath
Alan Jouban,Niko Price
Martin Bravo,Humberto Bandenay
Randa Markos,Alexa Grasso
Brad Scott,Jack Hermansson
Sergio Pettis,Brandon Moreno
Sam Alvey,Rashad Evans
Henry Briones,Rani Yahya
Alvaro Herrera Mendoza,Jordan Rinaldi
Joseph Morales,Robert Sanchez
Jose Quinonez,Diego Rivas
Jimi Manuwa,Volkan Oezdemir
Tyron Woodley,Demian Maia
Ricardo Lamas,Jason Knight
Daniel Cormier,Jon Jones
Robbie Lawler,Donald Cerrone
Cristiane Justino,Tonya Evinger
Brian Ortega,Renato Moicano
Aljamain Sterling,Renan Barao
Kailin Curran,Aleksandra Albu
Andre Fili,Calvin Kattar
Eric Shelton,Jarred Brooks
Joshua Burkman,Drew Dober
Dennis Bermudez,Darren Elkins
Jimmie Rivera,Thomas Almeida
Lyman Good,Elizeu Zaleski dos Santos
Damian Grabowski,Chase Sherman
Ryan LaFlare,Alex Oliveira
Rafael Natal,Eryk Anders
Patrick Cummins,Gian Villante
Chris Weidman,Kelvin Gastelum
Brian Kelleher,Marlon Vera
Shane Burgos,Godofredo Pepey
Kyle Bochniak,Jeremy Kennedy
Timothy Johnson,Junior Albini
Frankie Perez,Chris Wade
Danny Roberts,Bobby Nash
Jack Marshman,Ryan Janes
Joanne Calderwood,Cynthia Calvillo
James Mulheron,Justin Willis
Alexandre Pantoja,Neil Seery
Gunnar Nelson,Santiago Ponzinibbio
Khalil Rountree Jr.,Paul Craig
Stevie Ray,Paul Felder
Brett Johns,Albert Morales
Charlie Ward,Galore Bofando
Danny Henry,Daniel Teymur
Leslie Smith,Amanda Lemos
Daniel Omielanczuk,Curtis Blaydes
Thiago Santos,Gerald Meerschaert
Anthony Pettis,Jim Miller
Chad Laprise,Brian Camozzi
Fabricio Werdum,Alistair Overeem
Travis Browne,Aleksei Oleinik
Yoel Romero,Robert Whittaker
Rob Font,Douglas Silva de Andrade
Cody Stamann,Terrion Ware
Jordan Mein,Belal Muhammad
Trevin Giles,James Bochnovic
Marc Diakiese,Drakkar Klose
Jared Cannonier,Nick Roehrick
Dhiego Lima,Jesse Taylor
James Krause,Tom Gallicchio
Michael Johnson,Justin Gaethje
Jordan Johnson,Marcel Fortuna
Angela Hill,Ashley Yoder
Brad Tavares,Elias Theodorou
Tecia Torres,Juliana Lima
Gray Maynard,Teruto Ishihara
Ed Herman,CB Dollaway
Michael Chiesa,Kevin Lee
Vitor Miranda,Marvin Vettori
BJ Penn,Dennis Siver
Tim Means,Alex Garcia
Tim Boetsch,Johny Hendricks
Clay Guida,Erik Koch
Felice Herrig,Justine Kish
Joachim Christensen,Dominick Reyes
Josh Stansbury,Jeremy Kimball
Devin Powell,Darrell Horcher
Jared Gordon,Michel Quinones
Anthony Rocco Martin,Johnny Case
Carla Esparza,Maryna Moroz
Alex Caceres,Rolando Dy
Cyril Asker,Walt Harris
Takanori Gomi,Jon Tuck
Justin Scoggins,Yuta Sasaki
Dong Hyun Kim,Colby Covington
Tarec Saffiedine,Rafael Dos Anjos
Andrei Arlovski,Marcin Tybura
Holly Holm,Bethe Correia
Naoki Inoue,Carls John De Tomas
Li Jingliang,Frank Camacho
Kwan Ho Kwak,Russell Doane
Ji Yeon Kim,Lucie Pudilova
Ion Cutelaba,Henrique da Silva
Alexander Volkanovski,Mizuto Hirota
Derek Brunson,Daniel Kelly
Luke Jumeau,Dominique Steele
Tim Elliott,Ben Nguyen
Derrick Lewis,Mark Hunt
Damien Brown,Vinc Pichel
Dan Hooker,Ross Pearson
John Moraga,Ashkan Mokhtarian
Kiichi Kunimoto,Zak Ottow
JJ Aldrich,Chan-Mi Jeon
Raphael Assuncao,Marlon Moraes
Paulo Costa,Oluwale Bamgbose
Jose Aldo,Max Holloway
Vitor Belfort,Nate Marquardt
Antonio Carlos Junior,Eric Spicely
Johnny Eduardo,Matthew Lopez
Erick Silva,Yancy Medeiros
Claudia Gadelha,Karolina Kowalkiewicz
Viviane Pereira,Jamie Moyle
Iuri Alcantara,Brian Kelleher
Marco Beltran,Deiveson Figueiredo
Luan Chagas,Jim Wallhead
Pedro Munhoz,Damian Stasiak
Abdul Razak Alhassan,Omari Akhmedov
Volkan Oezdemir,Misha Cirkunov
Oliver Enkamp,Nordine Taleb
Jack Hermansson,Alex Nicholson
Alexander Gustafsson,Glover Teixeira
Trevor Smith,Chris Camozzi
Nicholas Musoke,Bojan Velickovic
Darren Till,Jessin Ayari
Reza Madadi,Joaquim Silva
Peter Sobotta,Ben Saunders
Marcin Held,Damir Hadzovic
Demian Maia,Jorge Masvidal
Krzysztof Jotko,David Branch
Stipe Miocic,Junior Dos Santos
Eddie Alvarez,Dustin Poirier
Chas Skelly,Jason Knight
Chase Sherman,Rashad Coulter
Frankie Edgar,Yair Rodriguez
Joanna Jedrzejczyk,Jessica Andrade
Jessica Aguilar,Cortney Casey
Joachim Christensen,Gadzhimurad Antigulov
James Vick,Marco Polo Reyes
Gabriel Benitez,Enrique Barzola
Thales Leites,Sam Alvey
Dustin Ortiz,Brandon Moreno
Cub Swanson,Artem Lobov
John Dodson,Eddie Wineland
Ovince Saint Preux,Marcos Rogerio de Lima
Al Iaquinta,Diego Sanchez
Joe Lauzon,Stevie Ray
Jake Ellenberger,Mike Perry
Hector Sandoval,Matt Schnell
Jessica Penne,Danielle Taylor
Scott Holtzman,Michael McBride
Alexis Davis,Cindy Dandois
Bryan Barberena,Joe Proctor
Demetrious Johnson,Wilson Reis
Louis Smolka,Tim Elliott
Jacare Souza,Robert Whittaker
Patrick Williams,Tom Duquesnoy
Rose Namajunas,Michelle Waterson
Jeremy Stephens,Renato Moicano
Bobby Green,Rashid Magomedov
Alexander Volkov,Roy Nelson
Aljamain Sterling,Augusto Mendes
Devin Clark,Jake Collier
Ashlee Evans-Smith,Ketlen Vieira
Zak Cummings,Nathan Coy
Anthony Smith,Andrew Sanchez
Kamaru Usman,Sean Strickland
Chris Weidman,Gegard Mousasi
Myles Jury,Mike de la Torre
Shane Burgos,Charles Rosa
Will Brooks,Charles Oliveira
Thiago Alves,Patrick Cote
Cynthia Calvillo,Pearl Gonzalez
Gregor Gillespie,Andrew Holbrook
Daniel Cormier,Anthony Johnson
Patrick Cummins,Jan Blachowicz
Jenel Lausa,Bibulatov Magomed
Josh Emmett,Desmond Green
Katlyn Chookagian,Irene Aldana
Leon Edwards,Vicente Luque
Daniel Omielanczuk,Timothy Johnson
Darren Stewart,Francimar Barroso
Gunnar Nelson,Alan Jouban
Jimi Manuwa,Corey Anderson
Joe Duffy,Reza Madadi
Arnold Allen,Makwan Amirkhani
Brad Pickett,Marlon Vera
Brad Scott,Scott Askham
Marc Diakiese,Teemu Packalen
Lina Lansberg,Lucie Pudilova
Bethe Correia,Marion Reneau
Alex Oliveira,Tim Means
Vitor Belfort,Kelvin Gastelum
Edson Barboza,Beneil Dariush
Mauricio Rua,Gian Villante
Francisco Trinaldo,Kevin Lee
Jussier Formiga,Ray Borg
Sergio Moraes,Davi Ramos
Michel Prazeres,Joshua Burkman
Rani Yahya,Joe Soto
Rony Jason,Jeremy Kennedy
Garreth McLellan,Paulo Costa
Amanda Cooper,Cynthia Calvillo
Rashad Evans,Daniel Kelly
Iuri Alcantara,Luke Sanders
Lando Vannata,David Teymur
Marcin Tybura,Luis Henrique
Mirsad Bektic,Darren Elkins
Tyron Woodley,Stephen Thompson
Alistair Overeem,Mark Hunt
Albert Morales,Andre Soukhamthath
Tyson Pedro,Paul Craig
Mark Godbeer,Daniel Spitz
Derrick Lewis,Travis Browne
Sam Sicilia,Gavin Tucker
Elias Theodorou,Cezar Ferreira
Carla Esparza,Randa Markos
Sara McMann,Gina Mazany
Nordine Taleb,Santiago Ponzinibbio
Johny Hendricks,Hector Lombard
Paul Felder,Alex Ricci
Jack Marshman,Thiago Santos
Gerald Meerschaert,Ryan Janes
Aiemann Zahabi,Reginaldo Vieira
Jacare Souza,Tim Boetsch
Glover Teixeira,Jared Cannonier
Holly Holm,Germaine de Randamie
Dustin Poirier,Jim Miller
Wilson Reis,Yuta Sasaki
Anderson Silva,Derek Brunson
Randy Brown,Belal Muhammad
Nik Lentz,Islam Makhachev
Rick Glenn,Phillipe Nover
Ryan LaFlare,Roan Carneiro
Jessica Andrade,Angela Hill
Chas Skelly,Chris Gruetzemacher
Abel Trujillo,James Vick
Anthony Hamilton,Marcel Fortuna
Adam Milstead,Curtis Blaydes
Ovince Saint Preux,Volkan Oezdemir
Alexa Grasso,Felice Herrig
Dennis Bermudez,Chan Sung Jung
Ricardo Ramos,Michinori Tanaka
Tecia Torres,Bec Rawlings
Daniel Jolly,Khalil Rountree Jr.
Alex Morono,Niko Price
Alex Caceres,Jason Knight
Henrique da Silva,Jordan Johnson
Bobby Nash,Li Jingliang
Nate Marquardt,Sam Alvey
Valentina Shevchenko,Julianna Pena
Donald Cerrone,Jorge Masvidal
Andrei Arlovski,Francis Ngannou
Raphael Assuncao,Aljamain Sterling
Eric Spicely,Alessio Di Chirico
Alexandre Pantoja,Eric Shelton
Marcos Rogerio de Lima,Jeremy Kimball
Jason Gonzalez,JC Cottrell
Frankie Saenz,Augusto Mendes
Joe Lauzon,Marcin Held
John Moraga,Sergio Pettis
Anthony Rocco Martin,Alex White
Aleksei Oleinik,Viktor Pesta
Devin Powell,Drakkar Klose
Court McGee,Ben Saunders
Yair Rodriguez,BJ Penn
Bojan Mihajlovic,Joachim Christensen
Walt Harris,Chase Sherman
Dmitrii Smoliakov,Cyril Asker
Jocelyn Jones-Lybarger,Nina Ansaroff
Dong Hyun Kim,Tarec Saffiedine
Louis Smolka,Ray Borg
TJ Dillashaw,John Lineker
Amanda Nunes,Ronda Rousey
Johny Hendricks,Neil Magny
Mike Pyle,Alex Garcia
Antonio Carlos Junior,Marvin Vettori
Dominick Cruz,Cody Garbrandt
Alex Oliveira,Tim Means
Brandon Thatch,Niko Price
Paige VanZant,Michelle Waterson
Alan Jouban,Mike Perry
Henrique da Silva,Paul Craig
James Moontasri,Alex Morono
Cole Miller,Mizuto Hirota
Bryan Barberena,Colby Covington
Sage Northcutt,Mickey Gall
Urijah Faber,Brad Pickett
Josh Emmett,Scott Holtzman
Eddie Wineland,Takeya Mizugaki
Leslie Smith,Irene Aldana
Hector Sandoval,Fredy Serrano
Bojan Velickovic,Sultan Aliev
Donald Cerrone,Matt Brown
Cub Swanson,Dooho Choi
Jordan Mein,Emil Meek
Max Holloway,Anthony Pettis
Valerie Letourneau,Viviane Pereira
Nikita Krylov,Misha Cirkunov
Olivier Aubin-Mercier,Drew Dober
Tim Kennedy,Kelvin Gastelum
Mitch Gagnon,Matthew Lopez
Zach Makovsky,Dustin Ortiz
John Makdessi,Lando Vannata
Jason Saggo,Rustam Khabilov
Andrew Sanchez,Trevor Smith
Francis Ngannou,Anthony Hamilton
Randy Brown,Brian Camozzi
Corey Anderson,Sean O'Connell
Joseph Gigliotti,Gerald Meerschaert
Gian Villante,Saparbeg Safarov
Derrick Lewis,Shamil Abdurakhimov
Justine Kish,Ashley Yoder
Tiago dos Santos e Silva,Shane Burgos
Frankie Perez,Marc Diakiese
Juliana Lima,JJ Aldrich
Keith Berish,Ryan Janes
Jake Ellenberger,Jorge Masvidal
Sara McMann,Alexis Davis
Ion Cutelaba,Jared Cannonier
Demetrious Johnson,Tim Elliott
Gray Maynard,Ryan Hall
Rob Font,Matt Schnell
Joseph Benavidez,Henry Cejudo
Brandon Moreno,Ryan Benoit
Kailin Curran,Jamie Moyle
Josh Stansbury,Devin Clark
Elvis Mutapcic,Anthony Smith
Dong Hyun Ma,Brendan O'Reilly
Daniel Kelly,Chris Camozzi
Khalil Rountree Jr.,Tyson Pedro
Kyle Noke,Omari Akhmedov
Yusuke Kasuya,Alexander Volkanovski
Damien Brown,Jon Tuck
Jake Matthews,Andrew Holbrook
Seo Hee Ham,Danielle Taylor
Robert Whittaker,Derek Brunson
Richard Walsh,Jonathan Meunier
Dan Hooker,Jason Knight
Marlon Vera,Guangyou Ning
Ben Nguyen,Geane Herrera
Yao Zhikui,Jenel Lausa
Marcos Rogerio de Lima,Gadzhimurad Antigulov
Cezar Ferreira,Jack Hermansson
Sergio Moraes,Zak Ottow
Claudia Gadelha,Cortney Casey
Thomas Almeida,Albert Morales
Warlley Alves,Kamaru Usman
Thales Leites,Krzysztof Jotko
Ryan Bader,Rogerio Nogueira
Francimar Barroso,Darren Stewart
Luis Henrique,Christian Colombo
Johnny Eduardo,Manvel Gamburyan
Pedro Munhoz,Justin Scoggins
Kevin Lee,Magomed Mustafaev
Magnus Cedenblad,Jack Marshman
Artem Lobov,Teruto Ishihara
Kyoji Horiguchi,Ali Bagautinov
Ross Pearson,Stevie Ray
Anna Elmose,Amanda Cooper
Gegard Mousasi,Uriah Hall
Timothy Johnson,Alexander Volkov
Zak Cummings,Alexander Yakovlev
Marion Reneau,Milana Dudieva
Justin Ledet,Mark Godbeer
Brett Johns,Kwan Ho Kwak
Charlie Ward,Abdul Razak Alhassan
Tyron Woodley,Stephen Thompson
Khabib Nurmagomedov,Michael Johnson
Frankie Edgar,Jeremy Stephens
Rafael Natal,Tim Boetsch
Chris Weidman,Yoel Romero
Miesha Tate,Raquel Pennington
Eddie Alvarez,Conor McGregor
Vicente Luque,Belal Muhammad
Joanna Jedrzejczyk,Karolina Kowalkiewicz
Jim Miller,Thiago Alves
Liz Carmouche,Katlyn Chookagian
Marco Beltran,Joe Soto
Ricardo Lamas,Charles Oliveira
Beneil Dariush,Rashid Magomedov
Martin Bravo,Claudio Puelles
Diego Sanchez,Marcin Held
Rafael Dos Anjos,Tony Ferguson
Erik Perez,Felipe Arantes
Alexa Grasso,Heather Clark
Erick Montano,Max Griffin
Sam Alvey,Alex Nicholson
Henry Briones,Douglas Silva de Andrade
Marco Polo Reyes,Jason Novelli
Enrique Barzola,Chris Avila
Brad Pickett,Iuri Alcantara
Vitor Belfort,Gegard Mousasi
Leon Edwards,Albert Tumenov
Davey Grant,Damian Stasiak
Ovince Saint Preux,Jimi Manuwa
Michael Bisping,Dan Henderson
Mirsad Bektic,Russell Doane
Stefan Struve,Daniel Omielanczuk
Lukasz Sajewski,Marc Diakiese
Leonardo Santos,Adriano Martins
Danny Roberts,Mike Perry
Shamil Abdurakhimov,Walt Harris
Henrique da Silva,Joachim Christensen
Joshua Burkman,Zak Ottow
Will Brooks,Alex Oliveira
Hacran Dias,Andre Fili
John Lineker,John Dodson
Keita Nakamura,Elizeu Zaleski dos Santos
Nate Marquardt,Tamdan McCrory
Louis Smolka,Brandon Moreno
Cody East,Curtis Blaydes
Jonathan Wilson,Ion Cutelaba
Kelly Faszholz,Ketlen Vieira
Rani Yahya,Michinori Tanaka
Renan Barao,Phillipe Nover
Thiago Santos,Eric Spicely
Godofredo Pepey,Mike de la Torre
Gilbert Burns,Michel Prazeres
Roy Nelson,Antonio Silva
Cristiane Justino,Lina Lansberg
Francisco Trinaldo,Paul Felder
Jussier Formiga,Dustin Ortiz
Erick Silva,Luan Chagas
Vicente Luque,Hector Urbina
Alan Patrick,Stevie Ray
Glaico Franca Moreira,Gregor Gillespie
Dustin Poirier,Michael Johnson
Chris Wade,Islam Makhachev
Evan Dunham,Rick Glenn
Roan Carneiro,Kenny Robertson
Gabriel Benitez,Sam Sicilia
Uriah Hall,Derek Brunson
Chas Skelly,Maximo Blanco
Augusto Montano,Belal Muhammad
Erick Montano,Randy Brown
Antonio Carlos Junior,Leonardo Guimaraes
Alejandro Perez,Albert Morales
Jose Quinonez,Joey Gomez
Nik Lentz,Michael McBride
Stipe Miocic,Alistair Overeem
CM Punk,Mickey Gall
Urijah Faber,Jimmie Rivera
Jessica Andrade,Joanne Calderwood
Fabricio Werdum,Travis Browne
Brad Tavares,Caio Magalhaes
Jessica Eye,Bethe Correia
Drew Dober,Jason Gonzalez
Yancy Medeiros,Sean Spencer
Ryan Bader,Ilir Latifi
Peter Sobotta,Nicolas Dalby
Ashlee Evans-Smith,Veronica Macedo
Taylor Lapilus,Leandro Issa
Nick Hein,Tae Hyun Bang
Andrei Arlovski,Josh Barnett
Jessin Ayari,Jim Wallhead
Alexander Gustafsson,Jan Blachowicz
Jarjis Danho,Christian Colombo
Scott Askham,Jack Hermansson
Rustam Khabilov,Leandro Silva
Sam Alvey,Kevin Casey
Garreth McLellan,Alessio Di Chirico
Anthony Pettis,Charles Oliveira
Joe Lauzon,Jim Miller
Shane Campbell,Felipe Silva
Demian Maia,Carlos Condit
Enrique Barzola,Kyle Bochniak
Paige VanZant,Bec Rawlings
Chad Laprise,Thibault Gouti
Jeremy Kennedy,Alex Ricci
Cody Garbrandt,Takeya Mizugaki
Artem Lobov,Chris Avila
Rick Story,Donald Cerrone
Raquel Pennington,Elizabeth Phillips
Hyun Gyu Lim,Mike Perry
Anthony Johnson,Glover Teixeira
Tim Means,Sabah Homasi
Nate Diaz,Conor McGregor
Colby Covington,Max Griffin
Randa Markos,Cortney Casey
Neil Magny,Lorenz Larkin
Alberto Uda,Marvin Vettori
Viktor Pesta,Marcin Tybura
Court McGee,Dominique Steele
Thales Leites,Chris Camozzi
Trevor Smith,Joseph Gigliotti
Santiago Ponzinibbio,Zak Cummings
Dennis Bermudez,Rony Jason
Maryna Moroz,Danielle Taylor
Yair Rodriguez,Alex Caceres
David Teymur,Jason Novelli
Teruto Ishihara,Horacio Gutierrez
Chase Sherman,Justin Ledet
Cub Swanson,Tatsuya Kawajiri
Ryan Benoit,Fredy Serrano
Rose Namajunas,Karolina Kowalkiewicz
Francisco Rivera,Erik Perez
Nikita Krylov,Ed Herman
Matt Brown,Jake Ellenberger
Anthony Hamilton,Damian Grabowski
Ross Pearson,Jorge Masvidal
Robbie Lawler,Tyron Woodley
Wilson Reis,Hector Sandoval
Michael Graves,Bojan Velickovic
Cesar Arzamendia,Damien Brown
Kamaru Usman,Alexander Yakovlev
Felice Herrig,Kailin Curran
Francis Ngannou,Bojan Mihajlovic
Frankie Saenz,Eddie Wineland
Holly Holm,Valentina Shevchenko
Edson Barboza,Gilbert Melendez
Darren Elkins,Godofredo Pepey
Michel Prazeres,JC Cottrell
Alex Oliveira,James Moontasri
Luis Henrique,Dmitrii Smoliakov
Jim Alers,Jason Knight
Louis Smolka,Ben Nguyen
Tim Boetsch,Josh Samman
Tony Ferguson,Lando Vannata
Kyle Noke,Keita Nakamura
Michael McDonald,John Lineker
Lauren Murphy,Katlyn Chookagian
Aleksei Oleinik,Daniel Omielanczuk
Eric Spicely,Sam Alvey
Cortney Casey,Cristina Stanciu
Devin Clark,Alex Nicholson
Rani Yahya,Matthew Lopez
Scott Holtzman,Cody Pfister
Jose Aldo,Frankie Edgar
Cain Velasquez,Travis Browne
Miesha Tate,Amanda Nunes
Cat Zingano,Julianna Pena
TJ Dillashaw,Raphael Assuncao
Daniel Cormier,Anderson Silva
Brock Lesnar,Mark Hunt
Johny Hendricks,Kelvin Gastelum
Diego Sanchez,Joe Lauzon
Sage Northcutt,Enrique Marin
Gegard Mousasi,Thiago Santos
Jim Miller,Takanori Gomi
Joanna Jedrzejczyk,Claudia Gadelha
Joaquim Silva,Andrew Holbrook
Andrew Sanchez,Khalil Rountree Jr.
Ross Pearson,Will Brooks
Tatiana Suarez,Amanda Cooper
Dooho Choi,Thiago Tavares
John Moraga,Matheus Nicolau
Gray Maynard,Fernando Bruno
Jake Matthews,Kevin Lee
Cory Hendricks,Josh Stansbury
Cezar Ferreira,Anthony Smith
Li Jingliang,Anton Zafir
Rafael Dos Anjos,Eddie Alvarez
Russell Doane,Pedro Munhoz
Roy Nelson,Derrick Lewis
Joe Duffy,Mitch Clarke
John Makdessi,Mehdi Baghdad
Mike Pyle,Alberto Mina
Anthony Birchak,Dileno Lopes
Gilbert Burns,Lukasz Sajewski
Alan Jouban,Belal Muhammad
Felipe Arantes,Jerrod Sanders
Marco Beltran,Reginaldo Vieira
Vicente Luque,Alvaro Herrera Mendoza
Tamdan McCrory,Krzysztof Jotko
Misha Cirkunov,Ion Cutelaba
Valerie Letourneau,Joanne Calderwood
Rory MacDonald,Stephen Thompson
Steve Bosse,Sean O'Connell
Olivier Aubin-Mercier,Thibault Gouti
Donald Cerrone,Patrick Cote
Jason Saggo,Leandro Silva
Randa Markos,Jocelyn Jones-Lybarger
Elias Theodorou,Sam Alvey
Chris Beal,Joe Soto
Colby Covington,Jonathan Meunier
Ali Bagautinov,Geane Herrera
Luke Rockhold,Michael Bisping
Max Holloway,Ricardo Lamas
Jessica Penne,Jessica Andrade
Brian Ortega,Clay Guida
Beneil Dariush,James Vick
Dan Henderson,Hector Lombard
Dominick Cruz,Urijah Faber
Dustin Poirier,Bobby Green
Kevin Casey,Elvis Mutapcic
Jonathan Wilson,Henrique da Silva
Cole Miller,Alex Caceres
Sean Strickland,Tom Breese
Marco Polo Reyes,Dong Hyun Ma
Jorge Masvidal,Lorenz Larkin
Thomas Almeida,Cody Garbrandt
Chris Camozzi,Vitor Miranda
Sara McMann,Jessica Eye
Joshua Burkman,Paul Felder
Renan Barao,Jeremy Stephens
Tarec Saffiedine,Rick Story
Abel Trujillo,Jordan Rinaldi
Jake Collier,Alberto Uda
Erik Koch,Shane Campbell
Aljamain Sterling,Bryan Caraway
Chris de la Rocha,Adam Milstead
Thiago Santos,Nate Marquardt
Francisco Trinaldo,Yancy Medeiros
